Start,Steps,Max Value,Even Steps,Odd Steps
56959,122,4926904,81,41
82075,120,1331152,80,40
10730,73,16096,50,23
99714,66,149572,47,19
45018,62,67528,44,18
66321,117,198964,78,39
27752,33,27752,26,7
78070,156,281392,102,54
54749,140,164248,92,48
5802,23,8704,19,4
19191,74,129544,51,23
49690,158,74536,103,55
50994,83,86056,57,26
29593,72,99880,50,22
10648,55,10648,39,16
8717,47,26152,34,13
88892,58,427192,42,16
87546,89,599056,61,28
89913,71,303460,50,21
70317,143,210952,94,49
2369,120,9232,78,42
77576,138,95956,91,47
6656,18,6656,16,2
70032,81,70032,56,25
76430,200,2789152,129,71
91084,133,102472,88,45
87923,164,395656,107,57
55767,91,376432,62,29
13404,138,22624,90,48
32098,46,48148,34,12
78658,169,117988,110,59
10967,117,74032,77,40
99158,159,317680,104,55
93849,159,6171712,104,55
52922,78,80512,54,24
49727,65,1132864,46,19
50301,158,190996,103,55
22678,131,51028,86,45
55610,114,83416,76,38
96826,190,209680,123,67
56662,228,6810136,146,82
31025,147,93076,96,51
70314,99,105472,67,32
53007,78,536704,54,24
95286,102,814048,69,33
15339,177,6810136,114,63
68028,117,314656,78,39
92773,208,278320,134,74
80136,94,80136,64,30
19509,136,58528,89,47
3052,154,9232,99,55
48748,96,138832,65,31
87143,195,1675060,126,69
87236,71,87236,50,21
54022,78,121552,54,24
66413,161,199240,105,56
58336,166,58336,108,58
56180,47,56180,35,12
32094,98,164752,66,32
69679,187,6109504,121,66
80739,138,363328,91,47
39735,124,305908,82,42
72616,68,72616,48,20
73524,63,73524,45,18
94477,115,283432,77,38
17020,203,6810136,130,73
83614,151,423304,99,52
91795,71,413080,50,21
86673,102,260020,69,33
73848,94,93472,64,30
82751,182,1885192,118,64
79635,81,382696,56,25
28252,103,47680,69,34
25946,51,38920,37,14
90853,45,272560,34,11
32218,72,48328,50,22
8309,65,24928,45,20
5950,49,50848,35,14
51991,127,350944,84,43
1151,57,39364,39,18
89481,270,509632,172,98
74741,94,224224,64,30
66618,68,99928,48,20
94842,76,142264,53,23
16897,128,50692,84,44
46176,52,46176,38,14
7806,176,88936,113,63
5238,103,13264,68,35
20057,48,67696,35,13
45544,70,45544,49,21
56557,104,169672,70,34
3344,43,3344,31,12
13501,138,40504,90,48
53223,109,606256,73,36
29376,134,29376,88,46
9663,184,27114424,118,66
16965,110,50896,73,37
59639,166,402568,108,58
73667,68,796552,48,20
85068,151,95704,99,52
67216,68,67216,48,20
69043,130,310696,86,44
13285,107,45520,71,36
72790,143,163780,94,49
84665,107,285748,72,35
93469,71,280408,50,21
61390,135,349648,89,46
9436,60,15928,42,18
54341,39,163024,30,9
44079,194,446308,125,69
78833,213,250504,137,76
51294,83,259684,57,26
95982,190,323944,123,67
78782,107,3234328,72,35
60404,91,86020,62,29
29125,20,87376,18,2
95436,102,107368,69,33
43920,44,43920,33,11
35248,54,35248,39,15
94759,84,719584,58,26
91748,71,91748,50,21
62753,55,188260,40,15
56574,228,62710036,146,82
59102,122,336616,81,41
26647,95,179872,64,31
23050,38,34576,29,9
79606,76,255040,53,23
98117,159,294352,104,55
97380,71,156004,50,21
68386,55,102580,40,15
